feature,importance
neighbourhood_West Brighton,0.00010653042303185728
neighbourhood_Morris Heights,0.00010506681442629625
neighbourhood_College Point,0.00010430218849785326
neighbourhood_Baychester,0.00010334011381839504
neighbourhood_South Beach,0.00010037888378451086
neighbourhood_Mill Basin,9.96535347355515e-05
neighbourhood_Jamaica Estates,9.8872273548987e-05
neighbourhood_Edgemere,9.46181524316178e-05
neighbourhood_Soundview,9.241791896566765e-05
neighbourhood_Bergen Beach,9.155808316795461e-05
neighbourhood_Concord,8.935322955493219e-05
neighbourhood_Eastchester,8.604655562703124e-05
neighbourhood_Mount Eden,8.581096923361931e-05
neighbourhood_Mariners Harbor,8.287272419306221e-05
neighbourhood_Dyker Heights,7.999216253588044e-05
neighbourhood_New Springville,7.827853271869798e-05
neighbourhood_Whitestone,7.762479955584101e-05
neighbourhood_Holliswood,7.542570374749823e-05
neighbourhood_Olinville,7.504421796239151e-05
neighbourhood_Belle Harbor,7.236778177574663e-05
neighbourhood_Sea Gate,7.175478108305065e-05
neighbourhood_New Dorp Beach,7.106337437728419e-05
neighbourhood_Arrochar,6.89398290690494e-05
neighbourhood_Neponsit,6.850193526813753e-05
neighbourhood_New Dorp,6.814519538503301e-05
neighbourhood_Woodlawn,6.681410707848525e-05
neighbourhood_Emerson Hill,6.279231107820087e-05
neighbourhood_Arden Heights,5.8351395095896006e-05
neighbourhood_Port Richmond,5.7527104848297965e-05
neighbourhood_Grymes Hill,5.7407440737560754e-05
neighbourhood_Melrose,5.674619001488804e-05
neighbourhood_Castle Hill,5.5730194054363775e-05
neighbourhood_North Riverdale,5.5631577130104716e-05
neighbourhood_Grant City,5.496133704363081e-05
neighbourhood_Tottenville,5.138203508264838e-05
"neighbourhood_Bay Terrace, Staten Island",4.789492373445379e-05
neighbourhood_Fieldston,4.7137299823614835e-05
neighbourhood_Great Kills,4.660751552568212e-05
neighbourhood_Westchester Square,4.4161997910602425e-05
neighbourhood_Manhattan Beach,4.367119388257329e-05
neighbourhood_Lighthouse Hill,4.237177545519037e-05
neighbourhood_West Farms,3.5034254340076056e-05
neighbourhood_Todt Hill,3.491478101449414e-05
neighbourhood_Graniteville,3.107608461590613e-05
neighbourhood_Dongan Hills,2.9725209752842988e-05
neighbourhood_Howland Hook,2.9675470235117595e-05
neighbourhood_Bay Terrace,2.5802468250845055e-05
neighbourhood_Prince's Bay,2.573810071173053e-05
neighbourhood_Huguenot,2.406265891703748e-05
neighbourhood_Richmondtown,2.3554379343754717e-05
neighbourhood_Rosebank,1.6854391286948712e-05
neighbourhood_Silver Lake,1.4447520533011464e-05
neighbourhood_Woodrow,1.3122831921949394e-05
neighbourhood_New Brighton,1.1070348963079982e-05
neighbourhood_Eltingville,8.76268478339478e-06
neighbourhood_Bull's Head,5.553684256543018e-06
neighbourhood_Westerleigh,3.872555529353981e-06
neighbourhood_Glen Oaks,8.323483948744621e-07
neighbourhood_Gerritsen Beach,7.652160002613234e-07
neighbourhood_Willowbrook,4.754417302216504e-07
neighbourhood_Fort Wadsworth,0.0
neighbourhood_Co-op City,0.0
"neighbourhood_Chelsea, Staten Island",0.0
neighbourhood_Rossville,0.0
